,FIPS,Combined_Key,date,Cumulative_Cases,State_Tribe_Territory,County_Name,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Daily_Cases,Slop,Total_Population,Susceptible_Population,Infection_Rate,7Day_Average_Cases,Infection_Rate_Smooth
0,36061.0,"New York, New York, US",2020-02-01,0,,,,False,,,,,,1694251,1694251,,,
1,36061.0,"New York, New York, US",2020-02-02,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,,
2,36061.0,"New York, New York, US",2020-02-03,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,,
3,36061.0,"New York, New York, US",2020-02-04,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,,
4,36061.0,"New York, New York, US",2020-02-05,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,,
5,36061.0,"New York, New York, US",2020-02-06,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,,
6,36061.0,"New York, New York, US",2020-02-07,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,,
7,36061.0,"New York, New York, US",2020-02-08,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
8,36061.0,"New York, New York, US",2020-02-09,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
9,36061.0,"New York, New York, US",2020-02-10,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
10,36061.0,"New York, New York, US",2020-02-11,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
11,36061.0,"New York, New York, US",2020-02-12,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
12,36061.0,"New York, New York, US",2020-02-13,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
13,36061.0,"New York, New York, US",2020-02-14,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
14,36061.0,"New York, New York, US",2020-02-15,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
15,36061.0,"New York, New York, US",2020-02-16,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
16,36061.0,"New York, New York, US",2020-02-17,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
17,36061.0,"New York, New York, US",2020-02-18,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
18,36061.0,"New York, New York, US",2020-02-19,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
19,36061.0,"New York, New York, US",2020-02-20,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
20,36061.0,"New York, New York, US",2020-02-21,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
21,36061.0,"New York, New York, US",2020-02-22,0,,,,False,,,,0.0,0.0,1694251,1694251,0.0,0.0,0.0
